Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Loan_Approved
24,91626,686,18241,24,Self-Employed,1
26,77660,649,24154,48,Employed,0
41,124386,595,26625,12,Employed,0
18,69786,557,45950,48,Employed,0
61,21925,380,34066,12,Employed,0
25,103976,567,34691,60,Employed,0
41,125221,718,14331,60,Self-Employed,1
28,137832,534,21690,12,Employed,0
68,145150,610,20183,48,Employed,0
34,46015,656,40346,12,Unemployed,0
25,53320,512,5875,24,Employed,0
52,84881,348,13254,60,Employed,0
52,110827,426,29621,24,Unemployed,0
50,140071,522,11905,60,Self-Employed,0
22,122215,578,47121,60,Unemployed,0
59,46289,707,16882,36,Unemployed,0
56,148859,804,20041,24,Employed,1
58,23389,593,30098,24,Self-Employed,0
45,45683,576,43431,36,Employed,0
24,33629,737,34709,48,Unemployed,0
26,81550,406,35675,24,Employed,0
25,44826,719,5837,12,Self-Employed,0
29,120734,728,47448,36,Unemployed,0
51,46630,674,25489,24,Unemployed,0
50,118762,372,18627,48,Employed,0
65,66163,329,6696,24,Employed,0
40,118511,487,49994,60,Unemployed,0
41,86435,663,14543,12,Unemployed,1
54,31653,750,13615,36,Employed,0
52,47961,494,2466,60,Self-Employed,0
61,101941,455,31771,48,Self-Employed,0
57,94137,471,19350,60,Employed,0
39,53662,340,1375,60,Self-Employed,0
44,118818,362,34030,48,Employed,0
52,76446,322,21746,60,Employed,0
18,41288,659,23886,36,Employed,0
52,142555,374,45348,24,Employed,0
54,115081,417,43904,60,Unemployed,0
64,56877,679,33651,36,Employed,0
31,131562,589,8833,24,Unemployed,0
20,35313,739,2893,24,Unemployed,0
18,100885,306,31573,60,Unemployed,0
22,92715,495,32371,36,Employed,0
43,30326,720,41874,60,Self-Employed,0
31,130091,492,12826,48,Employed,0
56,145836,447,35420,24,Employed,0
44,21560,501,22924,60,Employed,0
26,99148,743,34367,24,Employed,0
32,103186,718,22199,36,Self-Employed,1
32,46745,726,26868,12,Employed,0
43,51890,778,9792,60,Unemployed,1
59,40022,774,21597,60,Employed,0
30,143629,425,37405,24,Employed,0
68,72579,694,33696,36,Self-Employed,0
49,90316,624,44123,48,Unemployed,0
56,103847,691,16989,36,Employed,1
66,48380,739,29931,60,Employed,0
69,130198,503,10290,48,Employed,0
49,22356,785,39367,36,Employed,0
21,90326,330,15342,12,Unemployed,0
47,112447,687,25941,24,Unemployed,1
54,134994,733,14945,36,Employed,1
40,109899,675,11762,36,Self-Employed,1
56,40049,643,31133,12,Employed,0
62,95717,742,48080,60,Employed,0
32,125361,374,41150,24,Employed,0
60,36082,454,28052,36,Unemployed,0
46,20661,729,42750,48,Employed,0
53,57412,662,20953,36,Employed,1
30,134015,747,41475,24,Employed,0
49,143191,533,18130,36,Employed,0
24,22920,561,32086,12,Self-Employed,0
68,111194,424,5633,36,Employed,0
39,134306,544,18304,36,Employed,0
45,80315,841,43037,48,Unemployed,0
19,99561,784,33284,12,Self-Employed,0
59,28946,421,47546,12,Self-Employed,0
62,114242,424,8008,36,Employed,0
23,65500,848,49291,48,Employed,0
45,124540,469,28405,36,Employed,0
45,36309,423,37386,36,Employed,0
61,75230,334,26373,24,Self-Employed,0
61,131822,386,21827,24,Employed,0
37,118656,500,34040,48,Employed,0
47,143782,668,14007,60,Employed,1
28,50027,376,19157,24,Employed,0
45,146768,358,33157,60,Unemployed,0
42,92541,730,36315,12,Employed,0
56,132340,799,36932,24,Employed,0
50,134846,408,22164,24,Employed,0
18,79321,577,15414,48,Employed,0
44,20956,367,15327,60,Employed,0
69,120375,368,49344,24,Unemployed,0
30,94131,464,1946,24,Employed,0
58,67908,788,15693,48,Unemployed,1
20,98339,604,28241,48,Self-Employed,0
56,145659,664,31254,60,Self-Employed,0
23,45963,678,16540,12,Self-Employed,0
25,121757,642,7719,12,Employed,0
44,59443,653,42203,36,Employed,0
26,119259,715,26081,24,Employed,1
54,59063,408,12350,60,Self-Employed,0
50,134225,796,37358,24,Self-Employed,0
68,136400,640,33021,60,Self-Employed,0
59,100818,682,43832,60,Employed,0
61,24703,832,29369,60,Self-Employed,0
41,85128,599,32728,24,Employed,0
32,92099,438,18576,48,Employed,0
49,45849,658,30001,24,Employed,0
49,51860,798,18848,60,Employed,1
41,51585,684,1390,36,Employed,1
58,42015,579,22999,12,Employed,0
69,97539,782,46436,60,Employed,0
66,63585,410,12569,36,Unemployed,0
66,46958,438,14029,48,Self-Employed,0
69,46017,734,23490,60,Unemployed,0
29,96707,808,46875,36,Employed,0
56,144677,572,36328,60,Self-Employed,0
19,65350,398,6867,24,Self-Employed,0
20,32201,403,16284,36,Employed,0
66,49426,513,34979,24,Employed,0
54,37778,464,10121,24,Employed,0
66,65241,819,2539,36,Employed,1
34,62229,583,26488,12,Unemployed,0
66,106652,816,18027,36,Self-Employed,1
19,148267,463,9693,12,Employed,0
19,138402,363,9921,60,Self-Employed,0
45,68364,390,11310,60,Self-Employed,0
40,118833,416,46512,36,Self-Employed,0
54,146503,566,31908,60,Employed,0
49,149044,439,5386,48,Self-Employed,0
50,104878,545,33263,24,Employed,0
18,77056,694,29412,24,Employed,1
36,47490,786,18303,12,Employed,0
19,147769,775,13242,60,Employed,1
61,39975,816,48025,12,Unemployed,0
43,46723,483,9947,24,Employed,0
49,43279,319,47714,24,Employed,0
23,98301,823,6930,60,Employed,1
49,132214,828,39170,48,Unemployed,0
21,31561,446,49785,48,Employed,0
28,127435,603,1507,60,Self-Employed,0
34,86061,527,2436,60,Employed,0
55,108397,401,28151,12,Employed,0
41,69153,716,12618,60,Employed,1
22,53142,515,9750,48,Employed,0
69,46916,706,17122,60,Employed,0
51,84324,698,8354,12,Employed,1
23,64965,798,45062,12,Self-Employed,0
39,145932,764,31979,12,Unemployed,0
28,24648,381,21900,12,Employed,0
65,55133,664,14840,36,Employed,1
33,70677,462,38167,60,Self-Employed,0
50,116059,347,6037,24,Employed,0
26,114588,810,29633,60,Employed,1
23,119950,628,25495,36,Unemployed,0
33,118317,415,16848,12,Unemployed,0
46,90135,636,37483,36,Employed,0
20,55046,446,48645,48,Employed,0
37,67064,622,8837,48,Employed,0
53,121459,742,35069,60,Unemployed,0
36,126625,312,8370,60,Employed,0
43,89350,793,7411,24,Employed,1
20,65893,586,40133,24,Employed,0
36,121520,413,31499,48,Employed,0
37,145818,779,31225,12,Self-Employed,0
49,81272,321,49217,36,Self-Employed,0
24,112152,648,1692,24,Unemployed,0
69,142907,619,29926,24,Employed,0
58,87649,425,35246,12,Employed,0
50,84674,576,40164,12,Employed,0
57,144132,503,9448,60,Employed,0
56,139044,493,44390,36,Self-Employed,0
35,128542,846,11073,12,Employed,1
57,33760,585,36414,24,Employed,0
18,41927,356,6209,24,Employed,0
28,106475,602,7533,48,Unemployed,0
45,81367,462,22061,12,Employed,0
42,117955,318,8211,60,Employed,0
67,32588,669,10927,36,Employed,0
40,141750,563,12927,60,Self-Employed,0
48,121678,412,25594,24,Employed,0
47,124734,787,10316,60,Self-Employed,1
59,138154,626,13177,24,Self-Employed,0
52,72233,841,11846,24,Employed,1
24,64738,364,8933,24,Unemployed,0
33,53397,591,39244,24,Employed,0
43,102189,324,47621,24,Self-Employed,0
65,96367,848,41696,48,Employed,0
69,144873,300,3080,60,Employed,0
66,91260,848,7089,48,Employed,1
19,140585,440,27123,48,Employed,0
18,96619,487,8797,12,Self-Employed,0
65,131453,427,9346,12,Employed,0
29,39816,500,20878,12,Unemployed,0
22,62240,426,34672,36,Employed,0
54,26276,556,18653,12,Self-Employed,0
49,133939,846,43742,60,Employed,0
26,124199,493,27140,48,Employed,0
58,99530,403,2184,60,Employed,0
52,43499,834,35493,12,Unemployed,0
36,108576,564,45148,36,Employed,0
65,128856,683,25846,36,Employed,1
33,102495,559,46825,48,Employed,0
20,141717,713,23195,60,Unemployed,1
37,91635,657,6606,24,Employed,1
41,127803,374,4956,60,Employed,0
50,105112,654,17555,12,Employed,1
41,55946,487,25849,24,Self-Employed,0
69,75204,589,19690,36,Self-Employed,0
28,71886,344,49849,48,Employed,0
66,91652,382,27347,48,Employed,0
25,35563,422,34189,36,Employed,0
53,112324,657,39308,12,Employed,0
55,112464,827,26785,36,Employed,1
57,121872,365,33698,12,Unemployed,0
37,29847,674,16966,24,Employed,0
52,46155,461,32097,36,Self-Employed,0
65,99671,679,16882,12,Employed,1
42,136891,657,5675,24,Unemployed,1
52,103310,487,42850,36,Employed,0
42,87278,621,14009,48,Employed,0
46,38309,749,28843,36,Employed,0
35,20619,773,30793,60,Employed,0
63,103194,312,40516,36,Employed,0
35,70108,483,39871,60,Unemployed,0
19,54707,410,18857,24,Self-Employed,0
52,40337,807,20627,36,Employed,0
33,145261,589,19565,24,Employed,0
58,101537,594,27025,24,Employed,0
53,86504,750,28832,12,Employed,1
50,67614,514,45116,24,Employed,0
21,111428,326,10782,24,Unemployed,0
50,111155,530,39650,36,Self-Employed,0
31,20281,620,23366,36,Self-Employed,0
38,47420,532,29557,48,Employed,0
65,100896,736,6798,12,Self-Employed,1
37,59030,832,10627,24,Unemployed,1
25,21058,702,42183,12,Employed,0
24,106213,352,13466,60,Employed,0
20,96260,612,43614,24,Self-Employed,0
34,48404,580,13720,12,Employed,0
50,123482,330,42913,48,Employed,0
65,125284,636,38292,48,Employed,0
29,49856,482,7559,24,Employed,0
68,29200,322,41388,60,Employed,0
39,84178,843,20158,48,Self-Employed,1
39,53997,745,31916,48,Unemployed,0
63,45611,373,23057,60,Unemployed,0
47,139273,309,36892,12,Employed,0
55,61235,783,42439,48,Unemployed,0
55,137428,755,12706,36,Employed,1
62,55057,459,13070,48,Employed,0
68,21239,313,41902,12,Employed,0
25,123674,477,1924,12,Employed,0
44,134474,711,27478,24,Employed,1
44,85661,352,6506,36,Employed,0
51,146945,707,47418,12,Employed,0
38,65272,321,36163,60,Employed,0
47,109393,329,25604,36,Self-Employed,0
50,81212,559,16310,36,Employed,0
45,144088,504,9226,60,Unemployed,0
64,35398,358,12781,48,Employed,0
50,140030,770,6515,60,Employed,1
22,76503,765,37133,60,Self-Employed,0
65,26638,311,17972,48,Employed,0
36,26570,589,33092,48,Employed,0
21,88785,653,12410,48,Unemployed,1
52,29110,374,20522,48,Employed,0
66,125899,740,10095,48,Self-Employed,1
34,99141,540,24047,60,Employed,0
61,32115,453,21470,24,Employed,0
45,59062,395,44129,24,Employed,0
47,42911,593,9531,12,Employed,0
46,124061,508,38038,24,Self-Employed,0
63,52556,642,23403,24,Unemployed,0
23,98131,387,43674,60,Employed,0
52,148335,689,30122,48,Employed,0
58,21969,624,17940,48,Unemployed,0
54,63753,456,30831,60,Employed,0
41,102811,436,12279,24,Employed,0
46,24470,727,39220,60,Employed,0
66,141863,751,7477,12,Employed,1
63,30225,440,18400,48,Unemployed,0
48,127860,382,7470,36,Self-Employed,0
52,143008,476,3062,12,Employed,0
50,127510,497,42798,12,Employed,0
69,128295,720,20880,60,Employed,1
38,43196,700,35581,24,Employed,0
49,125823,770,45439,48,Employed,0
40,33669,517,15308,36,Self-Employed,0
50,57380,474,27027,12,Employed,0
20,144398,322,31720,36,Employed,0
35,130677,534,36081,24,Employed,0
42,135886,312,10706,24,Employed,0
59,146753,400,10837,36,Employed,0
48,68320,835,39599,48,Unemployed,0
20,67414,822,37824,24,Employed,0
57,123542,751,34073,36,Unemployed,0
63,35577,730,48115,12,Employed,0
41,145354,832,33088,36,Employed,0
67,108009,592,29112,36,Employed,0
49,146365,400,27299,60,Employed,0
64,75409,801,35457,24,Employed,0
39,48625,603,31063,48,Employed,0
40,101040,839,4917,48,Unemployed,1
19,44089,654,3936,60,Unemployed,0
44,56487,602,37630,48,Employed,0
59,85838,795,15506,36,Employed,1
19,116999,526,29805,60,Employed,0
43,130448,535,15318,12,Employed,0
34,114795,754,49068,24,Employed,0
57,70138,312,27026,24,Self-Employed,0
50,62823,509,28672,24,Employed,0
26,57208,696,39417,36,Employed,0
60,74061,399,28281,12,Employed,0
65,50659,330,49442,60,Employed,0
56,149824,827,29091,60,Unemployed,1
46,121376,628,39328,24,Employed,0
59,51890,465,49219,12,Employed,0
43,99134,758,19610,12,Unemployed,1
52,67055,399,2079,12,Employed,0
67,132269,472,30850,48,Unemployed,0
42,39508,461,47751,48,Employed,0
41,62287,562,21590,24,Employed,0
30,98916,573,31951,12,Unemployed,0
24,46984,302,16327,12,Employed,0
53,130169,327,13755,60,Employed,0
62,28125,625,8235,60,Employed,0
37,56059,448,18197,24,Employed,0
18,89569,839,22473,12,Unemployed,1
25,123409,787,3031,24,Self-Employed,1
63,37087,737,42282,60,Self-Employed,0
33,126437,364,42863,60,Unemployed,0
31,135262,655,15287,48,Employed,1
29,25704,832,39679,24,Employed,0
68,80576,551,45463,24,Employed,0
40,93384,534,33230,12,Employed,0
32,107128,526,20037,12,Employed,0
45,131279,824,28052,48,Self-Employed,1
51,92460,612,4340,36,Employed,0
19,47208,348,41644,36,Employed,0
49,138516,417,49664,36,Employed,0
40,149612,353,46203,24,Self-Employed,0
39,105150,343,2141,24,Unemployed,0
68,86024,352,26425,60,Unemployed,0
42,59882,824,20281,24,Employed,1
39,45923,401,43049,24,Self-Employed,0
39,146561,697,21425,24,Employed,1
66,134044,437,35806,48,Self-Employed,0
69,121477,686,33113,24,Employed,0
59,49165,410,5270,12,Employed,0
23,87203,316,43814,12,Employed,0
32,111749,481,5683,60,Unemployed,0
60,24114,835,40884,48,Employed,0
54,84965,840,30809,12,Self-Employed,0
50,56321,470,35552,48,Employed,0
25,93297,708,4786,48,Employed,1
61,116652,677,22650,60,Employed,1
61,119304,487,29706,48,Employed,0
22,133942,529,10190,24,Employed,0
56,45426,418,39196,48,Employed,0
21,37772,455,40449,60,Unemployed,0
23,123754,764,40661,60,Employed,0
62,23712,403,30709,60,Self-Employed,0
49,21367,801,46429,12,Employed,0
69,126493,474,15892,24,Self-Employed,0
47,127317,720,10643,12,Employed,1
64,135142,433,10943,36,Employed,0
52,111736,690,44240,24,Employed,0
57,71924,800,46760,48,Employed,0
69,23726,332,22042,60,Self-Employed,0
33,109152,354,44894,36,Employed,0
30,47723,818,7869,24,Employed,0
67,146969,311,41437,12,Self-Employed,0
59,123110,827,45306,60,Employed,0
47,120494,672,43833,12,Unemployed,0
36,29108,783,21918,24,Employed,0
34,97714,527,29379,24,Self-Employed,0
36,55643,606,43939,36,Employed,0
45,51324,756,26274,48,Employed,1
43,123896,459,18696,12,Employed,0
54,103360,630,3962,36,Self-Employed,0
43,130896,524,14851,60,Employed,0
40,28927,803,46747,48,Employed,0
26,113680,755,6296,36,Unemployed,1
29,116546,344,15745,12,Self-Employed,0
18,42443,513,6730,24,Self-Employed,0
18,99973,358,14921,60,Self-Employed,0
64,83449,494,33894,12,Employed,0
51,129834,788,6602,48,Employed,1
49,125314,456,18575,48,Unemployed,0
65,96743,525,20023,24,Self-Employed,0
42,141805,711,46349,24,Employed,0
57,80233,504,16997,60,Employed,0
62,45537,378,18750,60,Unemployed,0
18,121293,423,42979,24,Employed,0
33,97576,770,23837,24,Employed,1
56,127522,517,15997,48,Employed,0
22,42612,815,40439,24,Employed,0
39,113977,403,24067,36,Unemployed,0
46,26471,692,46039,12,Employed,0
20,55631,733,21923,24,Unemployed,1
29,148449,630,9876,60,Employed,0
43,128997,442,3887,36,Employed,0
33,112059,839,43422,60,Unemployed,0
68,51348,577,37854,36,Employed,0
54,84732,532,37948,24,Employed,0
39,21177,828,3841,12,Employed,0
46,24760,389,29756,60,Employed,0
31,52779,791,7040,36,Employed,1
45,41636,498,11304,48,Self-Employed,0
22,101889,661,31341,24,Unemployed,0
64,73551,740,5758,12,Unemployed,1
66,31556,325,18010,24,Employed,0
47,47598,324,32658,48,Employed,0
63,31563,693,38782,12,Employed,0
69,66819,806,2375,48,Employed,1
22,129326,600,34949,24,Employed,0
29,93770,638,23092,36,Employed,0
33,111055,566,1490,24,Self-Employed,0
43,46966,760,4729,24,Employed,0
43,140133,755,6974,24,Employed,1
65,101709,659,20680,60,Unemployed,1
38,79889,367,19324,48,Employed,0
56,46987,711,32334,48,Self-Employed,0
53,98714,790,22398,48,Unemployed,1
50,124874,348,35650,60,Self-Employed,0
47,78348,401,22292,36,Employed,0
54,44596,515,36755,24,Unemployed,0
40,53174,737,39353,36,Employed,0
27,84106,458,4159,60,Unemployed,0
22,127510,788,33626,48,Employed,0
53,89967,541,30351,24,Employed,0
51,79182,304,38298,12,Employed,0
69,113300,660,18065,12,Employed,1
48,107163,758,22638,36,Self-Employed,1
27,59310,547,2073,48,Unemployed,0
36,76088,721,47511,12,Unemployed,0
49,148803,314,19771,36,Employed,0
18,28906,421,36461,60,Unemployed,0
22,56914,576,43330,36,Employed,0
62,130350,752,30320,36,Self-Employed,0
21,65379,689,5340,36,Self-Employed,1
33,98612,593,35924,24,Employed,0
41,134828,745,17184,36,Self-Employed,1
33,147445,509,41734,36,Employed,0
19,57650,601,3580,24,Employed,0
66,66881,522,41025,24,Employed,0
45,66413,302,29967,60,Employed,0
49,26012,817,3159,48,Unemployed,0
44,70115,392,49940,12,Employed,0
37,27151,819,14900,12,Employed,0
41,77716,727,12440,36,Employed,1
29,113747,792,15678,60,Unemployed,1
67,112653,534,48204,36,Self-Employed,0
52,56378,460,13021,12,Unemployed,0
50,62652,630,7772,24,Unemployed,0
50,92430,632,2627,48,Employed,0
68,33467,349,45432,60,Employed,0
60,51010,822,9219,24,Employed,1
54,148647,791,24464,48,Employed,1
29,141999,571,31232,60,Unemployed,0
20,134793,551,43481,60,Employed,0
18,74691,389,9488,12,Unemployed,0
50,84157,745,35949,24,Employed,0
57,128177,631,45362,60,Employed,0
27,32289,438,40932,60,Employed,0
60,64976,656,19981,48,Self-Employed,1
61,63596,573,1901,12,Unemployed,0
46,43171,318,23444,36,Self-Employed,0
30,120441,610,43058,12,Employed,0
29,146296,453,19061,36,Self-Employed,0
48,106365,689,3881,24,Employed,1
63,138218,559,30863,24,Employed,0
19,119590,424,46826,60,Self-Employed,0
68,134014,653,6622,24,Employed,1
67,64139,572,2378,60,Unemployed,0
52,68713,544,18632,12,Employed,0
40,49734,749,29311,24,Employed,0
34,92588,546,6650,12,Self-Employed,0
43,83646,819,46201,12,Employed,0
25,23654,440,43224,24,Unemployed,0
46,109022,661,8036,12,Employed,1
43,38743,307,40255,24,Unemployed,0
27,68368,777,23499,24,Employed,1
43,110025,651,38016,24,Employed,0
51,94172,794,5603,36,Employed,1
68,26441,726,28773,12,Employed,0
58,139735,338,20937,48,Self-Employed,0
24,44611,486,13632,24,Employed,0
21,139891,392,31607,12,Employed,0
67,127971,385,27337,60,Employed,0
62,32149,343,1220,24,Employed,0
28,120102,436,47994,24,Unemployed,0
46,79189,720,5818,48,Self-Employed,1
53,127904,373,8349,36,Employed,0
42,41675,847,6618,36,Self-Employed,0
38,91031,811,28464,24,Employed,1
53,62668,455,43624,12,Employed,0
27,33673,554,38344,60,Unemployed,0
54,149582,470,19255,60,Employed,0
26,96666,469,25299,12,Unemployed,0
41,108204,621,48975,24,Self-Employed,0
52,100758,755,2462,60,Employed,1
66,85429,454,16905,36,Self-Employed,0
52,43669,648,25920,12,Unemployed,0
65,54068,750,17252,48,Employed,1
53,108789,472,42004,24,Unemployed,0
35,29435,309,41581,12,Employed,0
66,114088,564,35836,60,Self-Employed,0
56,72249,737,6753,24,Unemployed,1
49,57384,546,41005,36,Employed,0
41,148782,845,15175,24,Employed,1
40,101929,798,7191,24,Unemployed,1
49,147959,428,18898,36,Employed,0
54,96153,626,19982,36,Employed,0
29,124056,703,15622,24,Employed,1
66,95388,658,2001,36,Employed,1
30,51401,316,48645,12,Employed,0
40,145511,573,44000,36,Employed,0
42,91831,415,24283,36,Employed,0
52,139503,390,22435,24,Unemployed,0
58,135760,381,28223,12,Employed,0
47,121529,623,38244,48,Employed,0
34,147834,413,31024,48,Employed,0
66,54084,357,31734,60,Employed,0
37,140387,453,1515,36,Employed,0
65,130641,703,46246,36,Employed,0
42,125111,565,2191,12,Employed,0
39,75826,614,33264,48,Self-Employed,0
30,56451,340,44628,60,Unemployed,0
36,27227,404,47216,12,Unemployed,0
66,51910,492,7297,36,Unemployed,0
53,56041,700,28856,48,Unemployed,1
29,108920,577,9334,60,Employed,0
58,85681,653,25162,24,Unemployed,1
36,123314,555,7008,48,Employed,0
29,101571,398,8987,60,Unemployed,0
26,85481,581,31966,12,Unemployed,0
24,88576,702,4332,24,Employed,1
45,127958,408,1787,60,Employed,0
31,149265,498,39990,60,Employed,0
48,147556,602,10873,36,Unemployed,0
69,84174,626,18006,48,Unemployed,0
36,46160,453,21225,36,Self-Employed,0
64,135170,704,37444,24,Employed,0
33,137867,761,36340,60,Unemployed,0
22,37633,431,40683,36,Employed,0
52,114880,383,6033,48,Self-Employed,0
29,37014,698,8788,24,Employed,0
42,100532,408,16689,12,Employed,0
69,69104,520,45220,36,Employed,0
38,61621,667,22598,24,Unemployed,1
53,97231,446,38480,12,Self-Employed,0
40,88388,411,30703,36,Employed,0
33,36014,793,1066,24,Employed,0
56,112578,804,49623,24,Self-Employed,0
62,53755,774,46246,36,Employed,0
59,60390,570,8533,24,Unemployed,0
56,43711,720,16103,60,Employed,0
31,111658,666,5616,36,Employed,1
48,77993,579,47045,24,Unemployed,0
22,94696,582,39498,12,Unemployed,0
52,47213,339,44492,12,Employed,0
40,135788,488,12772,60,Employed,0
46,124956,463,24849,36,Self-Employed,0
60,77784,835,13940,24,Employed,1
28,27421,835,17932,24,Self-Employed,0
35,106936,303,30769,12,Employed,0
64,119073,589,25648,60,Employed,0
29,37727,732,48411,12,Self-Employed,0
26,132418,770,33966,12,Unemployed,0
27,24358,480,28777,60,Employed,0
61,85108,547,33567,36,Unemployed,0
34,146609,578,18174,24,Employed,0
55,114018,553,43598,36,Employed,0
24,144457,480,14798,48,Self-Employed,0
63,52117,808,18558,48,Unemployed,1
30,108700,625,45237,48,Unemployed,0
57,51910,656,1178,60,Employed,1
59,146888,690,21470,12,Employed,1
26,118032,384,18118,36,Employed,0
67,75754,616,23616,24,Employed,0
44,82438,511,1798,48,Unemployed,0
19,129847,814,8601,36,Employed,1
22,49371,683,26363,48,Self-Employed,0
46,71501,641,3795,48,Employed,0
54,80946,337,32926,24,Employed,0
55,58467,810,46264,60,Employed,0
36,37625,719,38356,12,Employed,0
25,53893,468,8297,60,Employed,0
65,96329,642,4084,36,Self-Employed,0
62,51007,605,31329,60,Employed,0
18,111302,841,12110,36,Self-Employed,1
39,59532,836,1731,36,Employed,1
69,74253,411,2129,12,Self-Employed,0
34,32323,710,29022,24,Employed,0
24,131335,505,2605,12,Self-Employed,0
42,132356,484,12970,60,Employed,0
62,130944,681,44705,36,Unemployed,0
21,93379,795,45130,48,Self-Employed,0
53,34210,678,30265,48,Employed,0
23,36456,346,33330,36,Employed,0
48,51367,827,3933,12,Employed,1
36,74624,803,16187,24,Self-Employed,1
61,30106,321,26791,12,Employed,0
56,123493,512,25900,36,Employed,0
44,88008,609,6074,36,Employed,0
27,145926,571,47805,24,Employed,0
43,135395,501,27426,60,Self-Employed,0
36,136492,331,40867,60,Employed,0
56,92240,742,1893,24,Unemployed,1
20,84315,461,35158,60,Self-Employed,0
62,89249,553,20773,48,Employed,0
30,90587,820,5239,60,Unemployed,1
67,30756,779,21863,60,Employed,0
45,88011,309,4432,60,Unemployed,0
37,56378,804,36139,48,Employed,0
45,24255,735,2515,60,Unemployed,0
25,34484,410,32670,48,Employed,0
58,145703,452,49674,24,Employed,0
56,76549,401,40094,12,Employed,0
18,54503,490,15605,24,Employed,0
20,144465,380,6586,12,Unemployed,0
30,93794,788,36685,24,Employed,0
45,145941,387,49669,12,Unemployed,0
66,126283,493,32186,12,Employed,0
42,120732,403,27928,36,Unemployed,0
50,65113,395,33728,12,Employed,0
55,125730,722,18551,12,Employed,1
